"Date","Active Market Wallets"
"2017-06-22",0
"2017-06-23",8
"2017-06-24",21
"2017-06-25",28
"2017-06-26",34
"2017-06-27",44
"2017-06-28",46
"2017-06-29",49
"2017-06-30",53
"2017-07-01",55
"2017-07-02",57
"2017-07-03",59
"2017-07-04",62
"2017-07-05",62
"2017-07-06",64
"2017-07-07",65
"2017-07-08",67
"2017-07-09",70
"2017-07-10",74
"2017-07-11",76
"2017-07-12",81
"2017-07-13",86
"2017-07-14",87
"2017-07-15",88
"2017-07-16",90
"2017-07-17",91
"2017-07-18",93
"2017-07-19",93
"2017-07-20",93
"2017-07-21",95
"2017-07-22",96
"2017-07-23",97
"2017-07-24",99
"2017-07-25",101
"2017-07-26",102
"2017-07-27",103
"2017-07-28",104
"2017-07-29",105
"2017-07-30",105
"2017-07-31",106
"2017-08-01",106
"2017-08-02",106
"2017-08-03",109
"2017-08-04",109
"2017-08-05",110
"2017-08-06",110
"2017-08-07",110
"2017-08-08",112
"2017-08-09",112
"2017-08-10",112
"2017-08-11",114
"2017-08-12",116
"2017-08-13",117
"2017-08-14",118
"2017-08-15",118
"2017-08-16",118
"2017-08-17",118
"2017-08-18",118
"2017-08-19",119
"2017-08-20",119
"2017-08-21",120
"2017-08-22",120
"2017-08-23",121
"2017-08-24",121
"2017-08-25",122
"2017-08-26",122
"2017-08-27",122
"2017-08-28",124
"2017-08-29",124
"2017-08-30",125
"2017-08-31",125
"2017-09-01",125
"2017-09-02",126
"2017-09-03",126
"2017-09-04",128
"2017-09-05",128
"2017-09-06",128
"2017-09-07",128
"2017-09-08",129
"2017-09-09",129
"2017-09-10",129
"2017-09-11",129
"2017-09-12",129
"2017-09-13",129
"2017-09-14",129
"2017-09-15",129
"2017-09-16",129
"2017-09-17",130
"2017-09-18",131
"2017-09-19",132
"2017-09-20",132
"2017-09-21",134
"2017-09-22",134
"2017-09-23",135
"2017-09-24",135
"2017-09-25",135
"2017-09-26",135
"2017-09-27",136
"2017-09-28",137
"2017-09-29",137
"2017-09-30",137
"2017-10-01",138
"2017-10-02",138
"2017-10-03",138
"2017-10-04",138
"2017-10-05",138
"2017-10-06",138
"2017-10-07",138
"2017-10-08",138
"2017-10-09",138
"2017-10-10",138
"2017-10-11",138
"2017-10-12",138
"2017-10-13",140
"2017-10-14",140
"2017-10-15",140
"2017-10-16",140
"2017-10-17",140
"2017-10-18",140
"2017-10-19",140
"2017-10-20",141
"2017-10-21",141
"2017-10-22",141
"2017-10-23",141
"2017-10-24",141
"2017-10-25",141
"2017-10-26",141
"2017-10-27",141
"2017-10-28",141
"2017-10-29",141
"2017-10-30",142
"2017-10-31",143
"2017-11-01",144
"2017-11-02",146
"2017-11-03",146
"2017-11-04",147
"2017-11-05",147
"2017-11-06",147
"2017-11-07",148
"2017-11-08",148
"2017-11-09",148
"2017-11-10",148
"2017-11-11",148
"2017-11-12",148
"2017-11-13",150
"2017-11-14",150
"2017-11-15",151
"2017-11-16",151
"2017-11-17",151
"2017-11-18",151
"2017-11-19",152
"2017-11-20",155
"2017-11-21",155
"2017-11-22",156
"2017-11-23",156
"2017-11-24",157
"2017-11-25",158
"2017-11-26",158
"2017-11-27",158
"2017-11-28",158
"2017-11-29",158
"2017-11-30",158
"2017-12-01",159
"2017-12-02",160
"2017-12-03",165
"2017-12-04",166
"2017-12-05",169
"2017-12-06",171
"2017-12-07",172
"2017-12-08",175
"2017-12-09",175
"2017-12-10",176
"2017-12-11",177
"2017-12-12",180
"2017-12-13",185
"2017-12-14",186
"2017-12-15",189
"2017-12-16",191
"2017-12-17",194
"2017-12-18",195
"2017-12-19",199
"2017-12-20",200
"2017-12-21",202
"2017-12-22",205
"2017-12-23",205
"2017-12-24",206
"2017-12-25",206
"2017-12-26",208
"2017-12-27",212
"2017-12-28",213
"2017-12-29",215
"2017-12-30",215
"2017-12-31",215
"2018-01-01",217
"2018-01-02",219
"2018-01-03",221
"2018-01-04",223
"2018-01-05",223
"2018-01-06",223
"2018-01-07",223
"2018-01-08",225
"2018-01-09",226
"2018-01-10",228
"2018-01-11",231
"2018-01-12",232
"2018-01-13",237
"2018-01-14",242
"2018-01-15",243
"2018-01-16",246
"2018-01-17",246
"2018-01-18",246
"2018-01-19",249
"2018-01-20",252
"2018-01-21",252
"2018-01-22",252
"2018-01-23",253
"2018-01-24",253
"2018-01-25",253
"2018-01-26",254
"2018-01-27",254
"2018-01-28",255
"2018-01-29",256
"2018-01-30",256
"2018-01-31",256
"2018-02-01",256
"2018-02-02",256
"2018-02-03",256
"2018-02-04",257
"2018-02-05",257
"2018-02-06",257
"2018-02-07",257
"2018-02-08",258
"2018-02-09",259
"2018-02-10",259
"2018-02-11",260
"2018-02-12",260
"2018-02-13",260
"2018-02-14",260
"2018-02-15",260
"2018-02-16",260
"2018-02-17",260
"2018-02-18",261
"2018-02-19",261
"2018-02-20",261
"2018-02-21",262
"2018-02-22",262
"2018-02-23",263
"2018-02-24",266
"2018-02-25",266
"2018-02-26",268
"2018-02-27",268
"2018-02-28",268
"2018-03-01",269
"2018-03-02",271
"2018-03-03",271
"2018-03-04",271
"2018-03-05",271
"2018-03-06",271
"2018-03-07",271
"2018-03-08",271
"2018-03-09",271
"2018-03-10",271
"2018-03-11",271
"2018-03-12",271
"2018-03-13",272
"2018-03-14",272
"2018-03-15",272
"2018-03-16",272
"2018-03-17",273
"2018-03-18",273
"2018-03-19",273
"2018-03-20",277
"2018-03-21",277
"2018-03-22",277
"2018-03-23",277
"2018-03-24",278
"2018-03-25",279
"2018-03-26",279
"2018-03-27",279
"2018-03-28",279
"2018-03-29",279
"2018-03-30",279
"2018-03-31",279
"2018-04-01",279
"2018-04-02",279
"2018-04-03",280
"2018-04-04",282
"2018-04-05",283
"2018-04-06",284
"2018-04-07",285
"2018-04-08",286
"2018-04-09",286
"2018-04-10",286
"2018-04-11",287
"2018-04-12",287
"2018-04-13",287
"2018-04-14",288
"2018-04-15",288
"2018-04-16",289
"2018-04-17",290
"2018-04-18",290
"2018-04-19",290
"2018-04-20",291
"2018-04-21",291
"2018-04-22",291
"2018-04-23",291
"2018-04-24",291
"2018-04-25",292
"2018-04-26",292
"2018-04-27",292
"2018-04-28",292
"2018-04-29",292
"2018-04-30",292
"2018-05-01",292
"2018-05-02",292
"2018-05-03",292
"2018-05-04",292
"2018-05-05",293
"2018-05-06",293
"2018-05-07",293
"2018-05-08",293
"2018-05-09",293
"2018-05-10",293
"2018-05-11",293
"2018-05-12",293
"2018-05-13",293
"2018-05-14",293
"2018-05-15",293
"2018-05-16",293
"2018-05-17",294
"2018-05-18",294
"2018-05-19",295
"2018-05-20",295
"2018-05-21",295
"2018-05-22",295
"2018-05-23",295
"2018-05-24",295
"2018-05-25",295
"2018-05-26",296
"2018-05-27",297
"2018-05-28",299
"2018-05-29",299
"2018-05-30",300
"2018-05-31",303
"2018-06-01",303
"2018-06-02",303
"2018-06-03",304
"2018-06-04",304
"2018-06-05",304
"2018-06-06",305
"2018-06-07",307
"2018-06-08",307
"2018-06-09",307
"2018-06-10",307
"2018-06-11",308
"2018-06-12",310
"2018-06-13",310
"2018-06-14",311
"2018-06-15",311
"2018-06-16",311
"2018-06-17",312
"2018-06-18",312
"2018-06-19",312
"2018-06-20",312
"2018-06-21",312
"2018-06-22",313
"2018-06-23",313
"2018-06-24",313
"2018-06-25",313
"2018-06-26",313
"2018-06-27",313
"2018-06-28",314
"2018-06-29",314
"2018-06-30",314
"2018-07-01",314
"2018-07-02",314
"2018-07-03",314
"2018-07-04",316
"2018-07-05",316
"2018-07-06",316
"2018-07-07",316
"2018-07-08",316
"2018-07-09",316
"2018-07-10",316
"2018-07-11",316
"2018-07-12",316
"2018-07-13",316
"2018-07-14",316
"2018-07-15",316
"2018-07-16",316
"2018-07-17",317
"2018-07-18",318
"2018-07-19",318
"2018-07-20",319
"2018-07-21",319
"2018-07-22",319
"2018-07-23",319
"2018-07-24",319
"2018-07-25",320
"2018-07-26",321
"2018-07-27",322
"2018-07-28",322
"2018-07-29",322
"2018-07-30",322
"2018-07-31",325
"2018-08-01",325
"2018-08-02",326
"2018-08-03",327
"2018-08-04",327
"2018-08-05",327
"2018-08-06",328
"2018-08-07",329
"2018-08-08",329
"2018-08-09",329
"2018-08-10",329
"2018-08-11",329
"2018-08-12",329
"2018-08-13",330
"2018-08-14",330
"2018-08-15",330
"2018-08-16",331
"2018-08-17",332
"2018-08-18",334
"2018-08-19",334
"2018-08-20",334
"2018-08-21",334
"2018-08-22",336
"2018-08-23",336
"2018-08-24",336
"2018-08-25",336
"2018-08-26",337
"2018-08-27",338
"2018-08-28",338
"2018-08-29",338
"2018-08-30",338
"2018-08-31",338
"2018-09-01",339
"2018-09-02",341
"2018-09-03",341
"2018-09-04",341
"2018-09-05",341
"2018-09-06",341
"2018-09-07",341
"2018-09-08",341
"2018-09-09",341
"2018-09-10",341
"2018-09-11",342
"2018-09-12",342
"2018-09-13",342
"2018-09-14",342
"2018-09-15",342
"2018-09-16",342
"2018-09-17",342
"2018-09-18",342
"2018-09-19",342
"2018-09-20",344
"2018-09-21",344
"2018-09-22",345
"2018-09-23",345
"2018-09-24",345
"2018-09-25",345
"2018-09-26",346
"2018-09-27",348
"2018-09-28",348
"2018-09-29",348
