"Date","Sales USD"
"2017-06-22",0
"2017-06-23",1020.3
"2017-06-24",2261.14
"2017-06-25",2778.69
"2017-06-26",3203.32
"2017-06-27",5296.23
"2017-06-28",6543.49
"2017-06-29",8729.21
"2017-06-30",10437.36
"2017-07-01",13578.16
"2017-07-02",16502.77
"2017-07-03",23752.56
"2017-07-04",37258.49
"2017-07-05",39098.78
"2017-07-06",46120.95
"2017-07-07",53203.46
"2017-07-08",56431.34
"2017-07-09",57400.45
"2017-07-10",62310.5
"2017-07-11",68019.87
"2017-07-12",69798.6
"2017-07-13",75099.57
"2017-07-14",75547.97
"2017-07-15",76097.66
"2017-07-16",76416.85
"2017-07-17",77869.05
"2017-07-18",80790.72
"2017-07-19",84227.47
"2017-07-20",86580.18
"2017-07-21",88715.19
"2017-07-22",89759.95
"2017-07-23",90181.65
"2017-07-24",91308.47
"2017-07-25",93077.94
"2017-07-26",93392.45
"2017-07-27",93504.21
"2017-07-28",93878.21
"2017-07-29",94885.01
"2017-07-30",96364
"2017-07-31",96577.45
"2017-08-01",96686.45
"2017-08-02",97212.19
"2017-08-03",101812.09
"2017-08-04",101812.09
"2017-08-05",103331.02
"2017-08-06",103331.02
"2017-08-07",103407.54
"2017-08-08",104405.14
"2017-08-09",104672.5
"2017-08-10",104853.54
"2017-08-11",105512.91
"2017-08-12",106551.43
"2017-08-13",107356.72
"2017-08-14",107860.59
"2017-08-15",108121.48
"2017-08-16",108331.51
"2017-08-17",108481.79
"2017-08-18",108570.63
"2017-08-19",108689.28
"2017-08-20",108851.62
"2017-08-21",109644.24
"2017-08-22",109731.65
"2017-08-23",109886.87
"2017-08-24",109886.87
"2017-08-25",110143.51
"2017-08-26",110242.47
"2017-08-27",110242.47
"2017-08-28",111388.32
"2017-08-29",111480.02
"2017-08-30",111654.32
"2017-08-31",111757.71
"2017-09-01",112263.82
"2017-09-02",112333.1
"2017-09-03",112333.1
"2017-09-04",112647.8
"2017-09-05",112647.8
"2017-09-06",112647.8
"2017-09-07",112647.8
"2017-09-08",112723.92
"2017-09-09",112723.92
"2017-09-10",112925.94
"2017-09-11",113065.28
"2017-09-12",113146.65
"2017-09-13",113146.65
"2017-09-14",113146.65
"2017-09-15",113146.65
"2017-09-16",113217.64
"2017-09-17",113351.36
"2017-09-18",113414.71
"2017-09-19",113793.31
"2017-09-20",114166.06
"2017-09-21",114374.6
"2017-09-22",114445.74
"2017-09-23",114689.31
"2017-09-24",114745.45
"2017-09-25",114745.45
"2017-09-26",114745.45
"2017-09-27",115168.46
"2017-09-28",115204.66
"2017-09-29",115519.01
"2017-09-30",115679.53
"2017-10-01",116129.05
