"Date","Secondary Sales"
"2017-06-22",0
"2017-06-23",19
"2017-06-24",40
"2017-06-25",53
"2017-06-26",67
"2017-06-27",100
"2017-06-28",115
"2017-06-29",153
"2017-06-30",174
"2017-07-01",184
"2017-07-02",215
"2017-07-03",266
"2017-07-04",324
"2017-07-05",342
"2017-07-06",365
"2017-07-07",402
"2017-07-08",432
"2017-07-09",444
"2017-07-10",461
"2017-07-11",504
"2017-07-12",521
"2017-07-13",552
"2017-07-14",559
"2017-07-15",564
"2017-07-16",567
"2017-07-17",572
"2017-07-18",602
"2017-07-19",633
"2017-07-20",654
"2017-07-21",675
"2017-07-22",688
"2017-07-23",694
"2017-07-24",709
"2017-07-25",717
"2017-07-26",722
"2017-07-27",724
"2017-07-28",729
"2017-07-29",737
"2017-07-30",753
"2017-07-31",755
"2017-08-01",757
"2017-08-02",758
"2017-08-03",779
"2017-08-04",779
"2017-08-05",781
"2017-08-06",781
"2017-08-07",782
"2017-08-08",787
"2017-08-09",790
"2017-08-10",792
"2017-08-11",800
"2017-08-12",817
"2017-08-13",824
"2017-08-14",827
"2017-08-15",831
"2017-08-16",833
"2017-08-17",835
"2017-08-18",836
"2017-08-19",837
"2017-08-20",838
"2017-08-21",846
"2017-08-22",847
"2017-08-23",849
"2017-08-24",849
"2017-08-25",852
"2017-08-26",853
"2017-08-27",853
"2017-08-28",862
"2017-08-29",863
"2017-08-30",865
"2017-08-31",866
"2017-09-01",871
"2017-09-02",874
"2017-09-03",874
"2017-09-04",877
"2017-09-05",877
"2017-09-06",877
"2017-09-07",877
"2017-09-08",878
"2017-09-09",878
"2017-09-10",881
"2017-09-11",883
"2017-09-12",885
"2017-09-13",885
"2017-09-14",885
"2017-09-15",885
"2017-09-16",886
"2017-09-17",888
"2017-09-18",889
"2017-09-19",893
"2017-09-20",896
"2017-09-21",900
"2017-09-22",901
"2017-09-23",905
"2017-09-24",906
"2017-09-25",906
"2017-09-26",906
"2017-09-27",910
"2017-09-28",911
"2017-09-29",918
"2017-09-30",928
"2017-10-01",929
"2017-10-02",929
"2017-10-03",929
"2017-10-04",930
"2017-10-05",930
"2017-10-06",930
"2017-10-07",930
"2017-10-08",931
"2017-10-09",932
"2017-10-10",932
"2017-10-11",933
"2017-10-12",934
"2017-10-13",938
"2017-10-14",942
"2017-10-15",945
"2017-10-16",947
"2017-10-17",947
"2017-10-18",947
"2017-10-19",948
"2017-10-20",949
"2017-10-21",950
"2017-10-22",950
"2017-10-23",950
"2017-10-24",950
"2017-10-25",951
"2017-10-26",958
"2017-10-27",964
"2017-10-28",970
"2017-10-29",971
"2017-10-30",974
"2017-10-31",980
"2017-11-01",984
"2017-11-02",987
"2017-11-03",987
"2017-11-04",990
"2017-11-05",990
"2017-11-06",990
"2017-11-07",991
"2017-11-08",991
"2017-11-09",993
"2017-11-10",993
"2017-11-11",993
"2017-11-12",994
"2017-11-13",996
"2017-11-14",997
"2017-11-15",999
"2017-11-16",999
"2017-11-17",999
"2017-11-18",999
"2017-11-19",1000
"2017-11-20",1004
"2017-11-21",1004
"2017-11-22",1013
"2017-11-23",1014
"2017-11-24",1015
"2017-11-25",1017
"2017-11-26",1026
"2017-11-27",1029
"2017-11-28",1033
"2017-11-29",1036
"2017-11-30",1037
"2017-12-01",1038
"2017-12-02",1039
"2017-12-03",1060
"2017-12-04",1077
"2017-12-05",1089
"2017-12-06",1096
"2017-12-07",1099
"2017-12-08",1104
"2017-12-09",1104
"2017-12-10",1110
"2017-12-11",1115
"2017-12-12",1124
"2017-12-13",1146
"2017-12-14",1161
"2017-12-15",1171
"2017-12-16",1175
"2017-12-17",1181
"2017-12-18",1185
"2017-12-19",1195
"2017-12-20",1196
"2017-12-21",1202
"2017-12-22",1207
"2017-12-23",1208
"2017-12-24",1209
"2017-12-25",1209
"2017-12-26",1211
"2017-12-27",1214
"2017-12-28",1222
"2017-12-29",1226
"2017-12-30",1227
"2017-12-31",1227
"2018-01-01",1237
"2018-01-02",1240
"2018-01-03",1242
"2018-01-04",1244
"2018-01-05",1244
"2018-01-06",1244
"2018-01-07",1245
"2018-01-08",1249
"2018-01-09",1251
"2018-01-10",1256
"2018-01-11",1263
"2018-01-12",1267
"2018-01-13",1275
"2018-01-14",1299
"2018-01-15",1304
"2018-01-16",1314
"2018-01-17",1317
"2018-01-18",1321
"2018-01-19",1328
"2018-01-20",1353
"2018-01-21",1353
"2018-01-22",1357
"2018-01-23",1365
"2018-01-24",1366
"2018-01-25",1367
"2018-01-26",1373
"2018-01-27",1373
"2018-01-28",1375
"2018-01-29",1382
"2018-01-30",1382
"2018-01-31",1382
"2018-02-01",1383
"2018-02-02",1386
"2018-02-03",1387
"2018-02-04",1389
"2018-02-05",1390
"2018-02-06",1390
"2018-02-07",1391
"2018-02-08",1392
"2018-02-09",1393
"2018-02-10",1393
"2018-02-11",1395
"2018-02-12",1395
"2018-02-13",1395
"2018-02-14",1395
"2018-02-15",1395
"2018-02-16",1398
"2018-02-17",1399
"2018-02-18",1400
"2018-02-19",1400
"2018-02-20",1401
"2018-02-21",1403
"2018-02-22",1404
"2018-02-23",1408
"2018-02-24",1412
"2018-02-25",1412
"2018-02-26",1413
"2018-02-27",1413
"2018-02-28",1415
"2018-03-01",1418
"2018-03-02",1421
"2018-03-03",1425
"2018-03-04",1427
"2018-03-05",1427
"2018-03-06",1427
"2018-03-07",1427
"2018-03-08",1428
"2018-03-09",1429
"2018-03-10",1429
"2018-03-11",1429
"2018-03-12",1430
"2018-03-13",1431
"2018-03-14",1432
"2018-03-15",1432
"2018-03-16",1433
"2018-03-17",1434
"2018-03-18",1436
"2018-03-19",1437
"2018-03-20",1440
"2018-03-21",1442
"2018-03-22",1444
"2018-03-23",1449
"2018-03-24",1451
"2018-03-25",1452
"2018-03-26",1452
"2018-03-27",1453
"2018-03-28",1454
"2018-03-29",1454
"2018-03-30",1454
"2018-03-31",1456
"2018-04-01",1458
"2018-04-02",1462
"2018-04-03",1467
"2018-04-04",1478
"2018-04-05",1479
"2018-04-06",1480
"2018-04-07",1482
"2018-04-08",1484
"2018-04-09",1485
"2018-04-10",1485
"2018-04-11",1486
"2018-04-12",1486
"2018-04-13",1486
"2018-04-14",1488
"2018-04-15",1488
"2018-04-16",1489
"2018-04-17",1491
"2018-04-18",1491
"2018-04-19",1491
"2018-04-20",1494
"2018-04-21",1497
"2018-04-22",1497
"2018-04-23",1497
"2018-04-24",1499
"2018-04-25",1500
"2018-04-26",1501
"2018-04-27",1501
"2018-04-28",1503
"2018-04-29",1503
"2018-04-30",1503
"2018-05-01",1505
"2018-05-02",1508
"2018-05-03",1508
"2018-05-04",1508
"2018-05-05",1510
"2018-05-06",1514
"2018-05-07",1514
"2018-05-08",1514
"2018-05-09",1514
"2018-05-10",1514
"2018-05-11",1514
"2018-05-12",1514
"2018-05-13",1514
"2018-05-14",1514
"2018-05-15",1514
"2018-05-16",1514
"2018-05-17",1515
"2018-05-18",1515
"2018-05-19",1516
"2018-05-20",1516
"2018-05-21",1516
"2018-05-22",1516
"2018-05-23",1516
"2018-05-24",1516
"2018-05-25",1520
"2018-05-26",1526
"2018-05-27",1530
"2018-05-28",1552
"2018-05-29",1561
"2018-05-30",1571
"2018-05-31",1582
"2018-06-01",1592
"2018-06-02",1592
"2018-06-03",1593
"2018-06-04",1593
"2018-06-05",1593
"2018-06-06",1595
"2018-06-07",1598
"2018-06-08",1657
"2018-06-09",1657
"2018-06-10",1657
"2018-06-11",1663
"2018-06-12",1670
"2018-06-13",1671
"2018-06-14",1673
"2018-06-15",1674
"2018-06-16",1674
"2018-06-17",1675
"2018-06-18",1675
"2018-06-19",1675
"2018-06-20",1675
"2018-06-21",1675
"2018-06-22",1676
"2018-06-23",1676
"2018-06-24",1676
"2018-06-25",1676
"2018-06-26",1676
"2018-06-27",1676
"2018-06-28",1677
"2018-06-29",1677
"2018-06-30",1677
"2018-07-01",1677
"2018-07-02",1677
"2018-07-03",1677
"2018-07-04",1679
"2018-07-05",1679
"2018-07-06",1679
"2018-07-07",1679
"2018-07-08",1679
"2018-07-09",1679
"2018-07-10",1680
"2018-07-11",1680
"2018-07-12",1680
"2018-07-13",1680
"2018-07-14",1680
"2018-07-15",1680
"2018-07-16",1680
"2018-07-17",1681
"2018-07-18",1682
"2018-07-19",1682
"2018-07-20",1683
"2018-07-21",1683
"2018-07-22",1683
"2018-07-23",1684
"2018-07-24",1684
"2018-07-25",1685
"2018-07-26",1688
"2018-07-27",1689
"2018-07-28",1689
"2018-07-29",1689
"2018-07-30",1689
"2018-07-31",1692
"2018-08-01",1692
"2018-08-02",1693
"2018-08-03",1694
"2018-08-04",1694
"2018-08-05",1694
"2018-08-06",1698
"2018-08-07",1701
"2018-08-08",1701
"2018-08-09",1701
"2018-08-10",1702
"2018-08-11",1702
"2018-08-12",1703
"2018-08-13",1704
"2018-08-14",1705
"2018-08-15",1721
"2018-08-16",1722
"2018-08-17",1723
"2018-08-18",1725
"2018-08-19",1725
"2018-08-20",1725
"2018-08-21",1725
"2018-08-22",1728
"2018-08-23",1728
"2018-08-24",1728
"2018-08-25",1728
"2018-08-26",1733
"2018-08-27",1735
"2018-08-28",1736
"2018-08-29",1736
"2018-08-30",1736
"2018-08-31",1736
"2018-09-01",1746
"2018-09-02",1749
"2018-09-03",1749
"2018-09-04",1749
"2018-09-05",1749
"2018-09-06",1749
"2018-09-07",1750
"2018-09-08",1750
"2018-09-09",1750
"2018-09-10",1750
"2018-09-11",1757
"2018-09-12",1757
"2018-09-13",1757
"2018-09-14",1759
"2018-09-15",1759
"2018-09-16",1760
"2018-09-17",1761
"2018-09-18",1761
"2018-09-19",1761
"2018-09-20",1763
"2018-09-21",1767
"2018-09-22",1772
"2018-09-23",1772
"2018-09-24",1772
"2018-09-25",1772
"2018-09-26",1774
"2018-09-27",1776
"2018-09-28",1776
"2018-09-29",1777
"2018-09-30",1777
"2018-10-01",1778
"2018-10-02",1789
"2018-10-03",1790
"2018-10-04",1793
"2018-10-05",1794
"2018-10-06",1796
"2018-10-07",1796
"2018-10-08",1799
"2018-10-09",1799
"2018-10-10",1799
"2018-10-11",1810
"2018-10-12",1821
"2018-10-13",1821
"2018-10-14",1821
"2018-10-15",1821
"2018-10-16",1821
"2018-10-17",1821
"2018-10-18",1825
"2018-10-19",1825
"2018-10-20",1828
"2018-10-21",1828
"2018-10-22",1828
"2018-10-23",1837
"2018-10-24",1838
"2018-10-25",1841
"2018-10-26",1844
"2018-10-27",1844
"2018-10-28",1850
"2018-10-29",1852
"2018-10-30",1852
"2018-10-31",1853
"2018-11-01",1855
"2018-11-02",1855
"2018-11-03",1858
"2018-11-04",1858
"2018-11-05",1858
"2018-11-06",1859
"2018-11-07",1862
"2018-11-08",1863
"2018-11-09",1863
"2018-11-10",1863
"2018-11-11",1863
"2018-11-12",1864
"2018-11-13",1866
"2018-11-14",1867
"2018-11-15",1867
"2018-11-16",1867
"2018-11-17",1868
"2018-11-18",1873
"2018-11-19",1875
"2018-11-20",1890
"2018-11-21",1891
"2018-11-22",1894
"2018-11-23",1894
"2018-11-24",1895
"2018-11-25",1898
"2018-11-26",1908
"2018-11-27",1915
"2018-11-28",1918
"2018-11-29",1922
"2018-11-30",1924
"2018-12-01",1924
"2018-12-02",1924
"2018-12-03",1925
"2018-12-04",1927
"2018-12-05",1941
"2018-12-06",1946
"2018-12-07",1955
"2018-12-08",1962
"2018-12-09",1962
"2018-12-10",1962
"2018-12-11",1962
"2018-12-12",1962
"2018-12-13",1986
"2018-12-14",1986
"2018-12-15",1987
"2018-12-16",1998
"2018-12-17",2000
"2018-12-18",2002
"2018-12-19",2004
"2018-12-20",2011
"2018-12-21",2012
"2018-12-22",2015
"2018-12-23",2016
"2018-12-24",2022
"2018-12-25",2024
"2018-12-26",2024
"2018-12-27",2026
"2018-12-28",2028
"2018-12-29",2034
"2018-12-30",2043
"2018-12-31",2043
"2019-01-01",2045
"2019-01-02",2045
"2019-01-03",2046
"2019-01-04",2049
"2019-01-05",2049
"2019-01-06",2049
"2019-01-07",2060
"2019-01-08",2064
"2019-01-09",2066
"2019-01-10",2068
"2019-01-11",2069
"2019-01-12",2069
"2019-01-13",2070
"2019-01-14",2070
"2019-01-15",2070
"2019-01-16",2071
"2019-01-17",2073
"2019-01-18",2075
"2019-01-19",2082
"2019-01-20",2089
"2019-01-21",2091
"2019-01-22",2094
"2019-01-23",2095
"2019-01-24",2109
"2019-01-25",2111
"2019-01-26",2116
"2019-01-27",2118
"2019-01-28",2118
"2019-01-29",2118
"2019-01-30",2121
"2019-01-31",2122
"2019-02-01",2125
"2019-02-02",2125
"2019-02-03",2128
"2019-02-04",2128
