"Date","Unique Buyers"
"2017-06-22",0
"2017-06-23",8
"2017-06-24",13
"2017-06-25",18
"2017-06-26",20
"2017-06-27",22
"2017-06-28",23
"2017-06-29",28
"2017-06-30",32
"2017-07-01",32
"2017-07-02",33
"2017-07-03",35
"2017-07-04",38
"2017-07-05",38
"2017-07-06",40
"2017-07-07",40
"2017-07-08",41
"2017-07-09",43
"2017-07-10",46
"2017-07-11",47
"2017-07-12",49
"2017-07-13",51
"2017-07-14",53
"2017-07-15",55
"2017-07-16",57
"2017-07-17",57
"2017-07-18",59
"2017-07-19",60
"2017-07-20",60
"2017-07-21",61
"2017-07-22",62
"2017-07-23",63
"2017-07-24",65
"2017-07-25",67
"2017-07-26",68
"2017-07-27",69
"2017-07-28",70
"2017-07-29",71
"2017-07-30",71
"2017-07-31",71
"2017-08-01",71
"2017-08-02",71
"2017-08-03",73
"2017-08-04",73
"2017-08-05",74
"2017-08-06",74
"2017-08-07",74
"2017-08-08",76
"2017-08-09",76
"2017-08-10",76
"2017-08-11",78
"2017-08-12",80
"2017-08-13",81
"2017-08-14",83
"2017-08-15",83
"2017-08-16",83
"2017-08-17",83
"2017-08-18",83
"2017-08-19",83
"2017-08-20",83
"2017-08-21",83
"2017-08-22",83
"2017-08-23",84
"2017-08-24",84
"2017-08-25",85
"2017-08-26",85
"2017-08-27",85
"2017-08-28",87
"2017-08-29",87
"2017-08-30",87
"2017-08-31",87
"2017-09-01",87
"2017-09-02",88
"2017-09-03",88
"2017-09-04",89
"2017-09-05",89
"2017-09-06",89
"2017-09-07",89
"2017-09-08",90
"2017-09-09",90
"2017-09-10",90
"2017-09-11",90
"2017-09-12",90
"2017-09-13",90
"2017-09-14",90
"2017-09-15",90
"2017-09-16",90
"2017-09-17",91
"2017-09-18",92
"2017-09-19",92
"2017-09-20",92
"2017-09-21",94
"2017-09-22",94
"2017-09-23",95
"2017-09-24",95
"2017-09-25",95
"2017-09-26",95
"2017-09-27",96
"2017-09-28",96
"2017-09-29",96
"2017-09-30",96
"2017-10-01",96
"2017-10-02",96
"2017-10-03",96
"2017-10-04",96
"2017-10-05",96
"2017-10-06",96
"2017-10-07",96
"2017-10-08",96
"2017-10-09",96
"2017-10-10",96
"2017-10-11",96
"2017-10-12",96
"2017-10-13",98
"2017-10-14",98
"2017-10-15",98
"2017-10-16",98
"2017-10-17",98
"2017-10-18",98
"2017-10-19",98
"2017-10-20",99
"2017-10-21",99
"2017-10-22",99
"2017-10-23",99
"2017-10-24",99
"2017-10-25",99
"2017-10-26",99
"2017-10-27",99
"2017-10-28",99
"2017-10-29",99
"2017-10-30",100
"2017-10-31",101
"2017-11-01",101
"2017-11-02",103
"2017-11-03",103
"2017-11-04",104
"2017-11-05",104
"2017-11-06",104
"2017-11-07",105
"2017-11-08",105
"2017-11-09",105
"2017-11-10",105
"2017-11-11",105
"2017-11-12",105
"2017-11-13",107
"2017-11-14",107
"2017-11-15",108
"2017-11-16",108
"2017-11-17",108
"2017-11-18",108
"2017-11-19",109
"2017-11-20",112
"2017-11-21",112
"2017-11-22",113
"2017-11-23",113
"2017-11-24",114
"2017-11-25",115
"2017-11-26",115
"2017-11-27",115
"2017-11-28",115
"2017-11-29",115
"2017-11-30",115
"2017-12-01",116
"2017-12-02",117
"2017-12-03",122
"2017-12-04",123
"2017-12-05",126
"2017-12-06",128
"2017-12-07",129
"2017-12-08",132
"2017-12-09",132
"2017-12-10",133
"2017-12-11",134
"2017-12-12",137
"2017-12-13",142
"2017-12-14",143
"2017-12-15",145
"2017-12-16",146
"2017-12-17",149
"2017-12-18",150
"2017-12-19",153
"2017-12-20",154
"2017-12-21",156
"2017-12-22",159
"2017-12-23",159
"2017-12-24",160
"2017-12-25",160
"2017-12-26",161
"2017-12-27",164
"2017-12-28",165
"2017-12-29",167
"2017-12-30",167
"2017-12-31",167
"2018-01-01",169
"2018-01-02",171
"2018-01-03",173
"2018-01-04",175
"2018-01-05",175
"2018-01-06",175
"2018-01-07",175
"2018-01-08",176
"2018-01-09",177
"2018-01-10",179
"2018-01-11",182
"2018-01-12",183
"2018-01-13",187
"2018-01-14",191
"2018-01-15",192
"2018-01-16",195
"2018-01-17",195
"2018-01-18",195
"2018-01-19",198
"2018-01-20",201
"2018-01-21",201
"2018-01-22",201
"2018-01-23",202
"2018-01-24",202
"2018-01-25",202
"2018-01-26",203
"2018-01-27",203
"2018-01-28",205
"2018-01-29",206
"2018-01-30",206
"2018-01-31",206
"2018-02-01",206
"2018-02-02",207
"2018-02-03",207
"2018-02-04",208
"2018-02-05",208
"2018-02-06",208
"2018-02-07",208
"2018-02-08",209
"2018-02-09",210
"2018-02-10",210
"2018-02-11",211
"2018-02-12",211
"2018-02-13",211
"2018-02-14",211
"2018-02-15",211
"2018-02-16",211
"2018-02-17",211
"2018-02-18",212
"2018-02-19",212
"2018-02-20",212
"2018-02-21",213
"2018-02-22",213
"2018-02-23",214
"2018-02-24",217
"2018-02-25",217
"2018-02-26",218
"2018-02-27",218
"2018-02-28",218
"2018-03-01",219
"2018-03-02",221
"2018-03-03",221
"2018-03-04",221
"2018-03-05",221
"2018-03-06",221
"2018-03-07",221
"2018-03-08",221
"2018-03-09",221
"2018-03-10",221
"2018-03-11",221
"2018-03-12",221
"2018-03-13",222
"2018-03-14",222
"2018-03-15",222
"2018-03-16",222
"2018-03-17",223
"2018-03-18",223
"2018-03-19",223
"2018-03-20",226
"2018-03-21",226
"2018-03-22",226
"2018-03-23",226
"2018-03-24",227
"2018-03-25",228
"2018-03-26",228
"2018-03-27",228
"2018-03-28",228
"2018-03-29",228
"2018-03-30",228
"2018-03-31",228
"2018-04-01",228
"2018-04-02",228
"2018-04-03",229
"2018-04-04",231
"2018-04-05",232
"2018-04-06",233
"2018-04-07",234
"2018-04-08",235
"2018-04-09",235
"2018-04-10",235
"2018-04-11",236
"2018-04-12",236
"2018-04-13",236
"2018-04-14",237
"2018-04-15",237
"2018-04-16",238
"2018-04-17",239
"2018-04-18",239
"2018-04-19",239
"2018-04-20",239
"2018-04-21",239
"2018-04-22",239
"2018-04-23",239
"2018-04-24",239
"2018-04-25",240
"2018-04-26",240
"2018-04-27",240
"2018-04-28",240
"2018-04-29",240
"2018-04-30",240
"2018-05-01",240
"2018-05-02",240
"2018-05-03",240
"2018-05-04",240
"2018-05-05",241
"2018-05-06",241
"2018-05-07",241
"2018-05-08",241
"2018-05-09",241
"2018-05-10",241
"2018-05-11",241
"2018-05-12",241
"2018-05-13",241
"2018-05-14",241
"2018-05-15",241
"2018-05-16",241
"2018-05-17",242
"2018-05-18",242
"2018-05-19",243
"2018-05-20",243
"2018-05-21",243
"2018-05-22",243
"2018-05-23",243
"2018-05-24",243
"2018-05-25",243
"2018-05-26",244
"2018-05-27",245
"2018-05-28",247
"2018-05-29",247
"2018-05-30",248
"2018-05-31",251
"2018-06-01",251
"2018-06-02",251
"2018-06-03",252
"2018-06-04",252
"2018-06-05",252
"2018-06-06",253
"2018-06-07",255
"2018-06-08",255
"2018-06-09",255
"2018-06-10",255
"2018-06-11",256
"2018-06-12",258
"2018-06-13",258
"2018-06-14",258
"2018-06-15",258
"2018-06-16",258
"2018-06-17",259
"2018-06-18",259
"2018-06-19",259
"2018-06-20",259
"2018-06-21",259
"2018-06-22",259
"2018-06-23",259
"2018-06-24",259
"2018-06-25",259
"2018-06-26",259
"2018-06-27",259
"2018-06-28",260
"2018-06-29",260
"2018-06-30",260
"2018-07-01",260
"2018-07-02",260
"2018-07-03",260
"2018-07-04",261
"2018-07-05",261
"2018-07-06",261
"2018-07-07",261
"2018-07-08",261
"2018-07-09",261
"2018-07-10",261
"2018-07-11",261
"2018-07-12",261
"2018-07-13",261
"2018-07-14",261
"2018-07-15",261
"2018-07-16",261
"2018-07-17",262
"2018-07-18",263
"2018-07-19",263
"2018-07-20",264
"2018-07-21",264
"2018-07-22",264
"2018-07-23",264
"2018-07-24",264
"2018-07-25",265
"2018-07-26",266
"2018-07-27",267
"2018-07-28",267
"2018-07-29",267
"2018-07-30",267
"2018-07-31",270
"2018-08-01",270
"2018-08-02",271
"2018-08-03",272
"2018-08-04",272
"2018-08-05",272
"2018-08-06",273
"2018-08-07",274
"2018-08-08",274
"2018-08-09",274
"2018-08-10",274
"2018-08-11",274
"2018-08-12",274
"2018-08-13",275
"2018-08-14",275
"2018-08-15",275
"2018-08-16",276
"2018-08-17",277
"2018-08-18",279
"2018-08-19",279
"2018-08-20",279
"2018-08-21",279
"2018-08-22",281
"2018-08-23",281
"2018-08-24",281
"2018-08-25",281
"2018-08-26",282
"2018-08-27",283
"2018-08-28",283
"2018-08-29",283
"2018-08-30",283
"2018-08-31",283
"2018-09-01",284
"2018-09-02",286
"2018-09-03",286
"2018-09-04",286
"2018-09-05",286
"2018-09-06",286
"2018-09-07",286
"2018-09-08",286
"2018-09-09",286
"2018-09-10",286
"2018-09-11",287
"2018-09-12",287
"2018-09-13",287
"2018-09-14",287
"2018-09-15",287
"2018-09-16",287
"2018-09-17",287
"2018-09-18",287
"2018-09-19",287
"2018-09-20",289
"2018-09-21",289
"2018-09-22",290
"2018-09-23",290
"2018-09-24",290
"2018-09-25",290
"2018-09-26",291
"2018-09-27",293
"2018-09-28",293
"2018-09-29",293
