"Date","Unique Sellers"
"2017-06-22",0
"2017-06-23",2
"2017-06-24",11
"2017-06-25",15
"2017-06-26",19
"2017-06-27",27
"2017-06-28",28
"2017-06-29",29
"2017-06-30",29
"2017-07-01",31
"2017-07-02",32
"2017-07-03",34
"2017-07-04",34
"2017-07-05",34
"2017-07-06",37
"2017-07-07",40
"2017-07-08",41
"2017-07-09",42
"2017-07-10",43
"2017-07-11",45
"2017-07-12",48
"2017-07-13",51
"2017-07-14",52
"2017-07-15",52
"2017-07-16",52
"2017-07-17",54
"2017-07-18",54
"2017-07-19",54
"2017-07-20",55
"2017-07-21",56
"2017-07-22",57
"2017-07-23",57
"2017-07-24",57
"2017-07-25",57
"2017-07-26",57
"2017-07-27",57
"2017-07-28",57
"2017-07-29",57
"2017-07-30",58
"2017-07-31",59
"2017-08-01",59
"2017-08-02",59
"2017-08-03",60
"2017-08-04",60
"2017-08-05",60
"2017-08-06",60
"2017-08-07",60
"2017-08-08",60
"2017-08-09",60
"2017-08-10",60
"2017-08-11",60
"2017-08-12",60
"2017-08-13",60
"2017-08-14",61
"2017-08-15",61
"2017-08-16",61
"2017-08-17",61
"2017-08-18",61
"2017-08-19",62
"2017-08-20",62
"2017-08-21",63
"2017-08-22",63
"2017-08-23",63
"2017-08-24",63
"2017-08-25",63
"2017-08-26",63
"2017-08-27",63
"2017-08-28",64
"2017-08-29",64
"2017-08-30",65
"2017-08-31",65
"2017-09-01",65
"2017-09-02",65
"2017-09-03",65
"2017-09-04",66
"2017-09-05",66
"2017-09-06",66
"2017-09-07",66
"2017-09-08",66
"2017-09-09",66
"2017-09-10",66
"2017-09-11",66
"2017-09-12",66
"2017-09-13",66
"2017-09-14",66
"2017-09-15",66
"2017-09-16",66
"2017-09-17",66
"2017-09-18",66
"2017-09-19",67
"2017-09-20",67
"2017-09-21",67
"2017-09-22",67
"2017-09-23",67
"2017-09-24",67
"2017-09-25",67
"2017-09-26",67
"2017-09-27",67
"2017-09-28",68
"2017-09-29",69
"2017-09-30",69
"2017-10-01",70
"2017-10-02",70
"2017-10-03",70
"2017-10-04",70
"2017-10-05",70
"2017-10-06",70
"2017-10-07",70
"2017-10-08",70
"2017-10-09",70
"2017-10-10",70
"2017-10-11",70
"2017-10-12",70
"2017-10-13",70
"2017-10-14",70
"2017-10-15",70
"2017-10-16",70
"2017-10-17",70
"2017-10-18",70
"2017-10-19",70
"2017-10-20",70
"2017-10-21",70
"2017-10-22",70
"2017-10-23",70
"2017-10-24",70
"2017-10-25",70
"2017-10-26",70
"2017-10-27",70
"2017-10-28",70
"2017-10-29",70
"2017-10-30",70
"2017-10-31",70
"2017-11-01",71
"2017-11-02",71
"2017-11-03",71
"2017-11-04",71
"2017-11-05",71
"2017-11-06",71
"2017-11-07",71
"2017-11-08",71
"2017-11-09",71
"2017-11-10",71
"2017-11-11",71
"2017-11-12",71
"2017-11-13",71
"2017-11-14",71
"2017-11-15",71
"2017-11-16",71
"2017-11-17",71
"2017-11-18",71
"2017-11-19",71
"2017-11-20",71
"2017-11-21",71
"2017-11-22",71
"2017-11-23",71
"2017-11-24",71
"2017-11-25",71
"2017-11-26",71
"2017-11-27",71
"2017-11-28",71
"2017-11-29",71
"2017-11-30",71
"2017-12-01",71
"2017-12-02",71
"2017-12-03",71
"2017-12-04",71
"2017-12-05",72
"2017-12-06",72
"2017-12-07",73
"2017-12-08",73
"2017-12-09",73
"2017-12-10",73
"2017-12-11",73
"2017-12-12",73
"2017-12-13",73
"2017-12-14",73
"2017-12-15",74
"2017-12-16",75
"2017-12-17",75
"2017-12-18",75
"2017-12-19",76
"2017-12-20",76
"2017-12-21",76
"2017-12-22",76
"2017-12-23",76
"2017-12-24",76
"2017-12-25",76
"2017-12-26",77
"2017-12-27",78
"2017-12-28",78
"2017-12-29",79
"2017-12-30",79
"2017-12-31",79
"2018-01-01",80
"2018-01-02",80
"2018-01-03",80
"2018-01-04",80
"2018-01-05",80
"2018-01-06",80
"2018-01-07",80
"2018-01-08",81
"2018-01-09",81
"2018-01-10",81
"2018-01-11",82
"2018-01-12",82
"2018-01-13",84
"2018-01-14",86
"2018-01-15",86
"2018-01-16",86
"2018-01-17",86
"2018-01-18",86
"2018-01-19",86
"2018-01-20",86
"2018-01-21",86
"2018-01-22",86
"2018-01-23",87
"2018-01-24",87
"2018-01-25",87
"2018-01-26",88
"2018-01-27",88
"2018-01-28",88
"2018-01-29",88
"2018-01-30",88
"2018-01-31",88
"2018-02-01",89
"2018-02-02",89
"2018-02-03",90
"2018-02-04",90
"2018-02-05",90
"2018-02-06",90
"2018-02-07",90
"2018-02-08",90
"2018-02-09",90
"2018-02-10",90
"2018-02-11",90
"2018-02-12",90
"2018-02-13",90
"2018-02-14",90
"2018-02-15",90
"2018-02-16",90
"2018-02-17",90
"2018-02-18",90
"2018-02-19",90
"2018-02-20",90
"2018-02-21",90
"2018-02-22",90
"2018-02-23",91
"2018-02-24",91
"2018-02-25",91
"2018-02-26",92
"2018-02-27",92
"2018-02-28",92
"2018-03-01",92
"2018-03-02",92
"2018-03-03",92
"2018-03-04",92
"2018-03-05",92
"2018-03-06",92
"2018-03-07",92
"2018-03-08",92
"2018-03-09",92
"2018-03-10",92
"2018-03-11",92
"2018-03-12",92
"2018-03-13",92
"2018-03-14",92
"2018-03-15",92
"2018-03-16",92
"2018-03-17",92
"2018-03-18",92
"2018-03-19",92
"2018-03-20",93
"2018-03-21",93
"2018-03-22",93
"2018-03-23",93
"2018-03-24",93
"2018-03-25",93
"2018-03-26",93
"2018-03-27",93
"2018-03-28",93
"2018-03-29",93
"2018-03-30",93
"2018-03-31",93
"2018-04-01",93
"2018-04-02",93
"2018-04-03",93
"2018-04-04",93
"2018-04-05",93
"2018-04-06",93
"2018-04-07",93
"2018-04-08",93
"2018-04-09",93
"2018-04-10",93
"2018-04-11",93
"2018-04-12",93
"2018-04-13",93
"2018-04-14",93
"2018-04-15",93
"2018-04-16",93
"2018-04-17",93
"2018-04-18",93
"2018-04-19",93
"2018-04-20",95
"2018-04-21",95
"2018-04-22",95
"2018-04-23",95
"2018-04-24",95
"2018-04-25",95
"2018-04-26",95
"2018-04-27",95
"2018-04-28",95
"2018-04-29",95
"2018-04-30",95
"2018-05-01",95
"2018-05-02",95
"2018-05-03",95
"2018-05-04",95
"2018-05-05",95
"2018-05-06",95
"2018-05-07",95
"2018-05-08",95
"2018-05-09",95
"2018-05-10",95
"2018-05-11",95
"2018-05-12",95
"2018-05-13",95
"2018-05-14",95
"2018-05-15",95
"2018-05-16",95
"2018-05-17",95
"2018-05-18",95
"2018-05-19",95
"2018-05-20",95
"2018-05-21",95
"2018-05-22",95
"2018-05-23",95
"2018-05-24",95
"2018-05-25",95
"2018-05-26",95
"2018-05-27",95
"2018-05-28",95
"2018-05-29",95
"2018-05-30",95
"2018-05-31",95
"2018-06-01",95
"2018-06-02",95
"2018-06-03",95
"2018-06-04",95
"2018-06-05",95
"2018-06-06",96
"2018-06-07",96
"2018-06-08",97
"2018-06-09",97
"2018-06-10",97
"2018-06-11",98
"2018-06-12",98
"2018-06-13",98
"2018-06-14",99
"2018-06-15",99
"2018-06-16",99
"2018-06-17",99
"2018-06-18",99
"2018-06-19",99
"2018-06-20",99
"2018-06-21",99
"2018-06-22",100
"2018-06-23",100
"2018-06-24",100
"2018-06-25",100
"2018-06-26",100
"2018-06-27",100
"2018-06-28",100
